_id;Caráter PBOM;Serviço PBOM;UF PBOM;Município PBOM;Município-UF;Frequência PBOM;Medida da Freq. PBOM;Classe PBOM;Latitude Decimal PBOM;Longitude Decimal PBOM;Latitude GMS PBOM;Longitude GMS PBOM;Latitude Decimal;Longitude Decimal;ERP PBOM;Altura da Torre PBOM;Categoria da Estação PBOM
57dbac7869333;Primário;OM;SP;Ourinhos;Ourinhos - SP;820;KHz;C;-22.9675;-49.890833333333;22S58 03;49W53 27;-22.9675;-49.890833333333;;73;
57dbac786cf62;Primário;OM;SP;Palmeira d Oeste;Palmeira d Oeste - SP;1200;KHz;B;-20.416666666667;-50.766666666667;20S25 00;50W46 00;-20.416666666667;-50.766666666667;;57;
57dbac786f74c;Primário;OM;SP;Palmital;Palmital - SP;580;KHz;C;-22.794444444444;-50.205555555556;22S47 40;50W12 20;-22.794444444444;-50.205555555556;;87;
57dbac787360a;Primário;OM;SP;Paraguaçu Paulista;Paraguaçu Paulista - SP;1190;KHz;B;-22.39688;-50.57129;22S23 49;50W34 17;-22.39688;-50.57129;;80;Principal
57dbac78776ff;Primário;OM;SP;Paraibuna;Paraibuna - SP;1580;KHz;C;-23.383333333333;-45.666666666667;23S22 60;45W40 00;-23.383333333333;-45.666666666667;;55;
57dbac787ae5e;Primário;OM;SP;Paranapuã;Paranapuã - SP;1540;KHz;C;-20.1;-50.6;20S06 00;50W36 00;-20.1;-50.6;;55;
57dbac787d067;Primário;OM;SP;Patrocínio Paulista;Patrocínio Paulista - SP;1300;KHz;C;-20.633333333333;-47.283333333333;20S37 60;47W16 60;-20.633333333333;-47.283333333333;;58;
57dbac787f777;Primário;OM;SP;Paulínia;Paulínia - SP;1090;KHz;C;-22.79844;-47.13978;22S47 54;47W08 23;-22.79844;-47.13978;;59;Principal
57dbac78830f1;Primário;OM;SP;Paulo de Faria;Paulo de Faria - SP;1560;KHz;C;-20.033333333333;-49.4;20S01 60;49W23 60;-20.033333333333;-49.4;;55;
57dbac7885834;Primário;OM;SP;Pederneiras;Pederneiras - SP;1380;KHz;C;-22.351111111111;-48.778333333333;22S21 04;48W46 42;-22.351111111111;-48.778333333333;;54;
57dbac7889c4f;Primário;OM;SP;Pedregulho;Pedregulho - SP;1540;KHz;C;-20.266666666667;-47.483333333333;20S16 00;47W28 60;-20.266666666667;-47.483333333333;;55;
57dbac788c36b;Primário;OM;SP;Pedreira;Pedreira - SP;1560;KHz;C;-22.733333333333;-46.883333333333;22S43 60;46W52 60;-22.733333333333;-46.883333333333;;55;
57dbac78903f3;Primário;OM;SP;Penápolis;Penápolis - SP;820;KHz;C;-21.219166666667;-50.024166666667;21S13 09;50W01 27;-21.219166666667;-50.024166666667;;73;
57dbac78948a9;Primário;OM;SP;Penápolis;Penápolis - SP;920;KHz;C;-21.4075;-50.071388888889;21S24 27;50W04 17;-21.4075;-50.071388888889;;80;
57dbac78991fe;Primário;OM;SP;Pereira Barreto;Pereira Barreto - SP;690;KHz;C;-20.653333333333;-51.123055555556;20S39 12;51W07 23;-20.653333333333;-51.123055555556;;96;
57dbac789d1b8;Primário;OM;SP;Peruíbe;Peruíbe - SP;1340;KHz;C;-24.316666666667;-47.016666666667;24S19 00;47W01 00;-24.316666666667;-47.016666666667;;56;
57dbac78a3d51;Primário;OM;SP;Piracicaba;Piracicaba - SP;650;KHz;B;-22.652222;-47.655556;22S39 08;47W39 20;-22.652222;-47.655556;;83;
57dbac78a7fa9;Primário;OM;SP;Piracicaba;Piracicaba - SP;910;KHz;B;-22.71025;-47.700972222222;22S42 37;47W42 03;-22.71025;-47.700972222222;;70;Principal
57dbac78ac30d;Primário;OM;SP;Piracicaba;Piracicaba - SP;1060;KHz;B;-22.70444;-47.66944;22S42 16;47W40 10;-22.70444;-47.66944;;57;Principal
57dbac78b0f5e;Primário;OM;SP;Piraju;Piraju - SP;610;KHz;C;-23.218611111111;-49.374444444444;23S13 07;49W22 28;-23.218611111111;-49.374444444444;;85;
57dbac78b5327;Primário;OM;SP;Piraju;Piraju - SP;680;KHz;B;-23.183333333333;-49.383333333333;23S10 60;49W22 60;-23.183333333333;-49.383333333333;;80;
57dbac78b9523;Primário;OM;SP;Pirajuí;Pirajuí - SP;1260;KHz;C;-22.00778;-49.42972;22S00 28;49W25 47;-22.00778;-49.42972;;70;
57dbac78bd6d2;Primário;OM;SP;Pirapozinho;Pirapozinho - SP;1540;KHz;C;-22.266666666667;-51.516666666667;22S16 00;51W31 00;-22.266666666667;-51.516666666667;;55;
57dbac78bfdb8;Primário;OM;SP;Pirassununga;Pirassununga - SP;1320;KHz;C;-22.011111111111;-47.441666666667;22S00 40;47W26 30;-22.011111111111;-47.441666666667;;50;
57dbac78c3eb4;Primário;OM;SP;Piratininga;Piratininga - SP;1480;KHz;C;-22.412777777778;-49.134722222222;22S24 46;49W08 05;-22.412777777778;-49.134722222222;;55;
57dbac78c65d2;Primário;OM;SP;Pompéia;Pompéia - SP;1540;KHz;C;-22.096388888889;-50.1725;22S05 47;50W10 21;-22.096388888889;-50.1725;;48;
57dbac78ca5f3;Primário;OM;SP;Porto Feliz;Porto Feliz - SP;1120;KHz;C;-23.214697222222;-47.495275;23S12 53;47W29 43;-23.214697222222;-47.495275;;51;
57dbac78ce48a;Primário;OM;SP;Porto Ferreira;Porto Ferreira - SP;1470;KHz;C;-21.85556;-47.46833;21S51 20;47W28 06;-21.85556;-47.46833;;55;Principal
57dbac78d2670;Primário;OM;SP;Presidente Bernardes;Presidente Bernardes - SP;1500;KHz;C;-22;-51.566666666667;22S00 00;51W34 00;-22;-51.566666666667;;50;
57dbac78d4dc9;Primário;OM;SP;Presidente Epitácio;Presidente Epitácio - SP;1560;KHz;C;-21.757777777778;-52.093055555556;21S45 28;52W05 35;-21.757777777778;-52.093055555556;;55;
57dbac78d935f;Primário;OM;SP;Presidente Prudente;Presidente Prudente - SP;630;KHz;B;-22.106944444444;-51.401666666667;22S06 25;51W24 06;-22.106944444444;-51.401666666667;;119;
57dbac78dd50f;Primário;OM;SP;Presidente Prudente;Presidente Prudente - SP;900;KHz;B;-22.07056;-51.40972;22S04 14;51W24 35;-22.07056;-51.40972;;106;
57dbac78e1c81;Primário;OM;SP;Presidente Prudente;Presidente Prudente - SP;1070;KHz;B;-22.091388888889;-51.383333333333;22S05 29;51W22 60;-22.091388888889;-51.383333333333;;82;Principal
